price,bedrooms,bathrooms,addr,lat,lng
"2,595",1,1,85 John St #2M,40.7085072,-74.006442
"5,300",2,2,200 Rector Pl #37B,40.7086444,-74.0161953
"3,250",1,1,200 Rector Pl #14A,40.7086444,-74.0161953
"3,000",1,1,200 Rector Pl #5A,40.7086444,-74.0161953
"5,030",3,2,200 Rector Pl #8B,40.7086444,-74.0161953
"3,295",1,1,200 Rector Pl #8D,40.7086444,-74.0161953
"3,550",1,1,200 Rector Pl #L33,40.7086444,-74.0161953
"8,770",2,2,200 Rector Pl #43D,40.7086444,-74.0161953
"3,200",1,1,200 Rector Pl #19K,40.7086444,-74.0161953
"5,400",2,2,200 Rector Pl #35H,40.7086444,-74.0161953
"8,000",2,2,264 Water St #4A,40.708698,-74.001618
"2,495",1,3,40 Gold St #5-E,40.7087286,-74.0057203
"9,500",6,2,110 Greenwich St #12BB,40.7087344,-74.0135875
"5,995",3,1,110 Greenwich St #10AA,40.7087344,-74.0135875
"4,300",2,1,80 Beekman St #5H,40.7087751,-74.0039209
"2,910",2,1,33 Gold St #622,40.7089766,-74.0059407
"3,100",1,1,300 Rector Pl #2A,40.7089922,-74.0173477
"3,300",1,1,120 Greenwich St #8D,40.7090072,-74.0133887
"3,400",1,3,120 Greenwich St #11B,40.7090072,-74.0133887
"2,995",1,1,53 Nassau St #4,40.7090344,-74.0091358
"3,100",1,1,75 West St #6S,40.7091164,-74.0146515
"3,595",1,1,75 West St #11M,40.7091164,-74.0146515
"2,900",1,1,77 Fulton St #23J,40.7091327,-74.0046585
"6,800",2,2,123 Washington St #49F,40.7092191,-74.0137534
"5,750",2,2,380 Rector Pl #10A,40.70924,-74.0180757
"6,230",2,2,380 Rector Pl #14G,40.70924,-74.0180757
"5,025",2,2,380 Rector Pl #3L,40.70924,-74.0180757
"3,325",1,1,380 Rector Pl #16F,40.70924,-74.0180757
"6,000",2,2,225 Rector Pl #22B,40.7093441,-74.016035
"3,550",1,1,333 Rector Pl #301,40.7096944,-74.0173131
"3,195",1,2,333 Rector Pl #307,40.7096944,-74.0173131
"12,950",4,3,333 Rector Pl #606,40.7096944,-74.0173131
"3,195",2,1,106 Fulton St #10H,40.7097029,-74.0070071
"2,895",1,1,106 Fulton St #9F,40.7097029,-74.0070071
"3,095",2,1,106 Fulton St #7D,40.7097029,-74.0070071
"2,695",1,1,106 Fulton St #8B,40.7097029,-74.0070071
"3,295",2,1,106 Fulton St #8G,40.7097029,-74.0070071
"3,995",3,1,106 Fulton St #7-C,40.7097029,-74.0070071
"6,500",4,2,106 Fulton St #13A,40.7097029,-74.0070071
"5,500",3,2,106 Fulton St #13F,40.7097029,-74.0070071
"4,195",2,1,106 Fulton St #8A,40.7097029,-74.0070071
"3,220",1,1,377 Rector Pl #2J,40.709749,-74.0178506
"3,900",1,1,71 Nassau St #11B,40.7097671,-74.0083249
"3,390",1,1,300 Albany St #9F,40.7098964,-74.0173301
"3,300",1,1,300 Albany St #3C,40.7098964,-74.0173301
"3,295",1,2,111 Fulton St #720,40.7099264,-74.0065609
"3,150",1,1,111 Fulton St #705,40.7099264,-74.0065609
"3,100",1,7,111 Fulton St #622,40.7099264,-74.0065609
"3,395",1,1,111 Fulton St #416,40.7099264,-74.0065609
"3,000",1,1,111 Fulton St #805,40.7099264,-74.0065609
"2,723",1,1,90 West St #3Y,40.709938,-74.0144023
"2,815",1,2,90 West St #9X,40.709938,-74.0144023
"3,415",1,1,90 West St #11C,40.709938,-74.0144023
"3,300",1,1,90 West St #4-C,40.709938,-74.0144023
"4,520",2,2,90 West St #2M,40.709938,-74.0144023
"3,450",1,1,90 West St #3C,40.709938,-74.0144023
"2,488",1,3,90 West St #14A,40.709938,-74.0144023
"2,488",1,5,90 West St #20B,40.709938,-74.0144023
"5,200",3,2,90 Nassau St #6,40.710078,-74.007679
"6,000",4,2,90 Nassau St #3,40.710078,-74.007679
"3,900",1,1,350 Albany St #11A,40.7101846,-74.0176786
"6,000",2,2,350 Albany St #10BC,40.7101846,-74.0176786
"4,560",2,2,355 S End Ave #6N,40.7105081,-74.0166218
"3,365",1,1,355 S End Ave #7B,40.7105081,-74.0166218
"4,100",3,1,275 South St #8O,40.7107312,-73.9877059
"4,950",3,2,275 South St #7JJJ,40.7107312,-73.9877059
"4,000",2,1,275 South St #5S,40.7107312,-73.9877059
"5,055",4,2,275 South St #10FF,40.7107312,-73.9877059
"4,750",1,1,113 Nassau St #30D,40.7110156,-74.0072044
"3,615",1,1,15 Park Row #25F,40.7111576,-74.0078404
"4,999",1,1,5 Beekman St #20C,40.7112095,-74.0068992
"4,800",1,1,5 Beekman St #18C,40.7112095,-74.0068992
"2,850",1,1,345 S End Ave #4F,40.7112527,-74.0165162
"3,580",1,1,345 S End Ave #5H,40.7112527,-74.0165162
"7,975",2,2,150 Nassau St #2A,40.711401,-74.0058907
"4,560",2,2,389 S End Ave,40.7114632,-74.0159381
